,week,state,state_name,disease,cases,incidence_per_capita
387,192809,MT,MONTANA,SMALLPOX,18,3.33
388,192809,NC,NORTH CAROLINA,SMALLPOX,119,3.86
389,192809,ND,NORTH DAKOTA,SMALLPOX,1,0.15
390,192809,NE,NEBRASKA,SMALLPOX,64,4.67
391,192809,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
392,192809,NJ,NEW JERSEY,SMALLPOX,0,0.0
393,192809,NM,NEW MEXICO,SMALLPOX,1,0.24
394,192809,NY,NEW YORK,SMALLPOX,13,0.11
395,192809,OH,OHIO,SMALLPOX,33,0.5
396,192809,OK,OKLAHOMA,SMALLPOX,94,4.01
397,192809,OR,OREGON,SMALLPOX,58,6.2
398,192809,PA,PENNSYLVANIA,SMALLPOX,0,0.0
399,192809,RI,RHODE ISLAND,SMALLPOX,0,0.0
400,192809,SC,SOUTH CAROLINA,SMALLPOX,7,0.4
401,192809,SD,SOUTH DAKOTA,SMALLPOX,0,0.0
402,192809,TN,TENNESSEE,SMALLPOX,34,1.3
403,192809,TX,TEXAS,SMALLPOX,92,1.62
404,192809,UT,UTAH,SMALLPOX,13,2.58
405,192809,VA,VIRGINIA,SMALLPOX,0,0.0
406,192809,VT,VERMONT,SMALLPOX,0,0.0
407,192809,WA,WASHINGTON,SMALLPOX,46,2.97
408,192809,WI,WISCONSIN,SMALLPOX,33,1.13
409,192809,WV,WEST VIRGINIA,SMALLPOX,9,0.53
410,192809,WY,WYOMING,SMALLPOX,5,2.27
411,192810,AL,ALABAMA,SMALLPOX,12,0.45
412,192810,AR,ARKANSAS,SMALLPOX,7,0.38
413,192810,AZ,ARIZONA,SMALLPOX,25,5.92
414,192810,CA,CALIFORNIA,SMALLPOX,19,0.36
415,192810,CO,COLORADO,SMALLPOX,12,1.18
416,192810,CT,CONNECTICUT,SMALLPOX,4,0.25
417,192810,DE,DELAWARE,SMALLPOX,0,0.0
418,192810,FL,FLORIDA,SMALLPOX,7,0.49
419,192810,GA,GEORGIA,SMALLPOX,15,0.52
420,192810,IA,IOWA,SMALLPOX,68,2.78
421,192810,ID,IDAHO,SMALLPOX,0,0.0
422,192810,IL,ILLINOIS,SMALLPOX,47,0.62
423,192810,IN,INDIANA,SMALLPOX,79,2.46
424,192810,KS,KANSAS,SMALLPOX,70,3.78
425,192810,KY,KENTUCKY,SMALLPOX,32,1.25
426,192810,LA,LOUISIANA,SMALLPOX,32,1.55
427,192810,MA,MASSACHUSETTS,SMALLPOX,0,0.0
